1	n-m	awb	ʼâb	heb	- אָב	a primitive word;		◊meaning:	- def: father	- ', in a literal and immediate, or figurative and remote application'	usage: chief, (fore-) father(-less), × patrimony, principal. Compare names in	  'Abi-'.																																						
2	n-m	ab	ʼab	arc	- אַב	- (Aramaic) corresponding to	  - '@src': H1	  - '1'	usage: father.																																									
16	n-m	ay-beh'	ʼêbeh	heb	- אֵבֶה	- from	  - '@src': H14	  - '14'	- (in the sense of bending toward);	◊meaning:	  def: the papyrus	usage: swift.																																						
17	inj	ab-o'ee	ʼăbôwy	heb	- אֲבוֹי	- from	  - '@src': H14	  - '14'	- (in the sense of desiring);	◊meaning:	  def: want	usage: sorrow.																																						
18	n-m	ay-booce'	ʼêbûwç	heb	- אֵבוּס	- from	  - '@src': H75	  - '75'	- ;	◊meaning:	- a	- def: manger	- or	- def: stall	usage: crib.																																			
19	n-f	ib-khaw'	ʼibchâh	heb	- אִבְחָה	from an unused root (apparently ◊meaning to turn);		◊meaning:	  def: brandishing of a sword	usage: point.																																								
20	n-m	ab-at-tee'-akh	ʼăbaṭṭîyach	heb	- אֲבַטִּיחַ	of uncertain derivation;		◊meaning:	- a	- def: melon	- (only plural)	usage: melon.																																						
21	n-pr-f	ab-ee'	ʼĂbîy	x-pn	- אֲבִי	- from	  - '@src': H1	  - '1'	- ; fatherly;	◊meaning:	- def: Abi	- ', Hezekiah''s mother'	usage: Abi.																																					
22	n-pr-m	ab-ee-ale'	ʼĂbîyʼêl	x-pn	- אֲבִיאֵל	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H410	  - '410'	- ; father (i.e. possessor) of God;	◊meaning:	- def: Abiel	- ', the name of two Israelites'	usage: Abiel.																																	
23	n-pr-m	ab-ee-aw-sawf'	ʼĂbîyʼâçâph	x-pn	- אֲבִיאָסָף	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H622	  - '622'	- ; father of gathering (i.e. gatherer);	◊meaning:	- def: Abiasaph	- ', an Israelite'	usage: Abiasaph.																																	
24	n-m	aw-beeb'	ʼâbîyb	heb	- אָבִיב	- from an unused root (◊meaning to	- );	◊meaning:	- def: green	- ', i.e. a young'	- def: ear	- of grain; hence, the name of the month	- def: Abib	- or Nisan	usage: Abib, ear, green ears of corn (not maize).																																			
25	n-pr-m	ab-ee' ghib-one'	ʼĂbîy Gibʻôwn	x-pn	- אֲבִי גִבְעוֹן	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H1391	  - '1391'	- ; father (i.e. founder) of Gibon;	◊meaning:	- def: Abi-Gibon	- ', perhaps an Israelite'	usage: father of Gibeon.																																	
26	n-pr-f	ab-ee-gah'-yil	ʼĂbîygayil	x-pn	- אֲבִיגַיִל	- or shorter	  - '@pron': ab-ee-gal'	  - '@xlit': ʼĂbîygal	  - אֲבִיגַל	- ; from	- w:	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H1524	  - '1524'	- ; father (i.e. source) of joy;	◊meaning:	- def: Abigail	- or	- def: Abigal	- ', the name of two Israelitesses'	usage: Abigal.																										
27	n-pr-m	ab-ee-dawn'	ʼĂbîydân	x-pn	- אֲבִידָן	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H1777	  - '1777'	- ; father of judgment (i.e. judge);	◊meaning:	- def: Abidan	- ', an Israelite'	usage: Abidan.																																	
28	n-pr-m	ab-ee-daw'	ʼĂbîydâʻ	x-pn	- אֲבִידָע	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H3045	  - '3045'	- ;	- def: father of knowledge	- (i.e. knowing);	◊meaning:	- def: Abida	- ', a son of Abraham by Keturah'	usage: Abida, Abidah.																															
29	n-pr-m	ab-ee-yaw'	ʼĂbîyâh	x-pn	- אֲבִיָּה	- or prolonged	  - '@pron': abee-yaw'-hoo	  - '@xlit': ʼĂbîyâhûw	  - אֲבִיָּהוּ	- ; from	- w:	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H3050	  - '3050'	- ; father (i.e. worshipper) of Jah;	◊meaning:	- def: Abijah	- ', the name of several Israelite men and two Israelitesses'	usage: Abiah, Abijah.																												
30	n-pr-m	ab-ee-hoo'	ʼĂbîyhûwʼ	x-pn	- אֲבִיהוּא	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H1931	  - '1931'	- ; father (i.e. worshipper) of Him (i.e. God);	◊meaning:	- def: Abihu	- ', a son of Aaron'	usage: Abihu.																																	
31	n-pr-m	ab-ee-hood'	ʼĂbîyhûwd	x-pn	- אֲבִיהוּד	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H1935	  - '1935'	- ; father (i.e. possessor) of renown;	◊meaning:	- def: Abihud	- ', the name of two Israelites'	usage: Abihud.																																	
32	n-pr-m	ab-ee-hah'-yil	ʼĂbîyhayil	x-pn	- אֲבִיהַיִל	- or (more correctly)	  - '@pron': ab-ee-khah'-yil	  - '@xlit': ʼĂbîychayil	  - אֲבִיחַיִל	- ; from	- w:	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H2428	  - '2428'	- ; father (i.e. possessor) of might;	◊meaning:	- def: Abihail	- or	- def: Abichail	- ', the name of three Israelites and two Israelitesses'	usage: Abihail.																										
33	n-pr-m	ab-ee'-haw-ez-ree'	ʼĂbîy hâ-ʻEzrîy	x-pn	- אֲבִי הָעֶזְרִי	- from	  - '@src': H44	  - '44'	- with the article inserted; father of the Ezrite;	◊meaning:	- an	- def: Abiezrite	- or descendant of Abiezer	usage: Abiezrite.																																				
34	a-m	eb-yone'	ʼebyôwn	heb	- אֶבְיוֹן	- from	  - '@src': H14	  - '14'	- ', in the sense of'	- def: want	- (especially in feeling);	◊meaning:	  def: destitute	usage: beggar, needy, poor (man).																																				
35	n-f	ab-ee-yo-naw'	ʼăbîyôwnâh	heb	- אֲבִיּוֹנָה	- from	  - '@src': H14	  - '14'	- ;	◊meaning:	- def: provocative of desire	- ; the	- def: caper berry	- (from its stimulative taste)	usage: desire.																																			
36	n-pr-m	ab-ee-toob'	ʼĂbîyṭûwb	x-pn	- אֲבִיטוּב	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H2898	  - '2898'	- ; father of goodness (i.e. good);	◊meaning:	- def: Abitub	- ', an Israelite'	usage: Abitub.																																	
37	n-pr-f	ab-ee-tal'	ʼĂbîyṭâl	x-pn	- אֲבִיטָל	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H2919	  - '2919'	- ; father of dew (i.e. fresh);	◊meaning:	- def: Abital	- ', a wife of King David'	usage: Abital.																																	
38	n-pr-m	ab-ee-yawm'	ʼĂbîyâm	x-pn	- אֲבִיָּם	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H3220	  - '3220'	- ; father of (the) sea (i.e. seaman);	◊meaning:	- def: Abijam	- (or Abijah), a king of Judah	usage: Abijam.																																	
39	n-pr-m	ab-ee-maw-ale'	ʼĂbîymâʼêl	x-pn	- אֲבִימָאֵל	- from	  - '@src': H1	  - '1'	- and an elsewhere unused (probably foreign) word; father of Mael (apparently	  some Arab tribe);	◊meaning:	- def: Abimael	- ', a son of Joktan'	usage: Abimael.																																				
40	n-pr-m	ab-ee-mel'-ek	ʼĂbîymelek	x-pn	- אֲבִימֶלֶךְ	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H4428	  - '4428'	- ; father of (the) king;	◊meaning:	- def: Abimelek	- ', the name of two Philistine kings and of two Israelites'	usage: Abimelech.																																	
41	n-pr-m	ab-ee-naw-dawb'	ʼĂbîynâdâb	x-pn	- אֲבִינָדָב	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H5068	  - '5068'	- ; father of generosity (i.e. liberal);	◊meaning:	- def: Abinadab	- ', the name of four Israelites'	usage: Abinadab.																																	
42	n-pr-m	ab-ee-no'-am	ʼĂbîynôʻam	x-pn	- אֲבִינֹעַם	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H5278	  - '5278'	- ; father of pleasantness (i.e. gracious);	◊meaning:	- def: Abinoam	- ', an Israelite'	usage: Abinoam.																																	
43	n-pr-m	eb-yaw-sawf'	ʼEbyâçâph	x-pn	- אֶבְיָסָף	- contracted from	  - '@src': H23	  - '23'	- ;	◊meaning:	- def: Ebjasaph	- ', an Israelite'	usage: Ebiasaph.																																					
44	n-pr-m	ab-ee-ay'-zer	ʼĂbîyʻezer	x-pn	- אֲבִיעֶזֶר	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H5829	  - '5829'	- ; father of help (i.e. helpful);	◊meaning:	- def: Abiezer	- ', the name of two Israelites'	usage: Abiezer.																																	
45	n-pr-m	ab-ee-al-bone'	ʼĂbîy-ʻalbôwn	x-pn	- אֲבִי־עַלְבוֹן	- from	  - '@src': H1	  - '1'	- and an unused root of uncertain derivation; probably, father of strength (i.e.	  valiant);	◊meaning:	- def: Abialbon	- ', an Israelite'	usage: Abialbon.																																				
46	a-m	aw-beer'	ʼâbîyr	heb	- אָבִיר	- from	  - '@src': H82	  - '82'	- ;	◊meaning:	- def: mighty	- (spoken of God)	usage: mighty (one).																																					
47	a-m	ab-beer'	ʼabbîyr	heb	- אַבִּיר	- for	  - '@src': H46	  - '46'	usage: angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant.																																									
48	n-pr-m	ab-ee-rawm'	ʼĂbîyrâm	x-pn	- אֲבִירָם	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H7311	  - '7311'	- ; father of height (i.e. lofty);	◊meaning:	- def: Abiram	- ', the name of two Israelites'	usage: Abiram.																																	
49	n-pr-f	ab-ee-shag'	ʼĂbîyshag	x-pn	- אֲבִישַׁג	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H7686	  - '7686'	- ; father of error (i.e. blundering);	◊meaning:	- def: Abishag	- ', a concubine of David'	usage: Abishag.																																	
50	n-pr-m	ab-ee-shoo'-ah	ʼĂbîyshûwaʻ	x-pn	- אֲבִישׁוּעַ	note: xlit ʼĂbîyshûwac corrected to ʼĂbîyshûwaʻ		source:	- from	- w:	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H7771	  - '7771'	- ; father of plenty (i.e. prosperous);	◊meaning:	- def: Abishua	- ', the name of two Israelites'	usage: Abishua.																													
51	n-pr-m	ab-ee-shoor'	ʼĂbîyshûwr	x-pn	- אֲבִישׁוּר	- from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H7791	  - '7791'	- ; father of (the) wall (i.e. perhaps mason);	◊meaning:	- def: Abishur	- ', an Israelite'	usage: Abishur.																																	
52	n-pr-m	ab-ee-shah'ee	ʼĂbîyshay	x-pn	- אֲבִישַׁי	- or (shorter)	  - '@pron': abshah'ee	  - '@xlit': ʼAbshay	  - אַבְשַׁי	- ; from	- w:	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H7862	  - '7862'	- ; father of a gift (i.e. probably generous);	◊meaning:	- def: Abishai	- ', an Israelite'	usage: Abishai.																												
53	n-pr-m	ab-ee-shaw-lome'	ʼĂbîyshâlôwm	x-pn	- אֲבִישָׁלוֹם	- or (shortened)	  - '@pron': ab-shaw-lome'	  - '@xlit': ʼAbshâlôwm	  - אַבְשָׁלוֹם	- ; from	- w:	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H7965	  - '7965'	- ; father of peace (i.e. friendly);	◊meaning:	- def: Abshalom	- ', a son of David; also (the fuller form) a later Israelite'	usage: Abishalom, Absalom.																												
54	n-pr-m	ab-yaw-thawr'	ʼEbyâthâr	x-pn	- אֶבְיָתָר	- contracted from	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H3498	  - '3498'	- ; father of abundance (i.e. liberal);	◊meaning:	- def: Ebjathar	- ', an Israelite'	usage: Abiathar.																																	
55	v	aw-bak'	ʼâbak	heb	- אָבַךְ	a primitive root;		◊meaning:	- probably to	- def: coil	- upward	usage: mount up.																																						
56	v	aw-bal'	ʼâbal	heb	- אָבַל	a primitive root;		◊meaning:	- to	- def: bewail	usage: lament, mourn.																																							
57	a	aw-bale'	ʼâbêl	heb	- אָבֵל	- from	  - '@src': H56	  - '56'	- ;	◊meaning:	  def: lamenting	usage: mourn(-er, -ing).																																						
58	n-f	aw-bale'	ʼâbêl	heb	- אָבֵל	from an unused root (◊meaning to be grassy);		◊meaning:	  def: a meadow	usage: plain. Compare also the proper names beginning with Abel-.																																								
59	n-pr-loc	aw-bale'	ʼÂbêl	x-pn	- אָבֵל	- from	  - '@src': H58	  - '58'	- ; a meadow;	◊meaning:	- def: Abel	- ', the name of two places in Palestine.'	usage: Abel.																																					
60	n-m	ay'-bel	ʼêbel	heb	- אֵבֶל	- from	  - '@src': H56	  - '56'	- ;	◊meaning:	  def: lamentation	usage: mourning.																																						
61	adv	ab-awl'	ʼăbâl	heb	- אֲבָל	- apparently from	  - '@src': H56	  - '56'	- through the idea of negation;	◊meaning:	- def: nay	- ', i.e.'	- def: truly	- or	- def: yet	usage: but, indeed, nevertheless, verily.																																		
62	n-pr-loc	aw-bale' bayth ma-akaw'	ʼÂbêl Bêyth-Măʻakâh	x-pn	- אָבֵל בֵּית־מֲעַכָה	- from	  - '@src': H58	  - '58'	- and	- w:	  - '@src': H1004	  - '1004'	- and	- w:	  - '@src': H4601	  - '4601'	- ; meadow of Beth-Maakah;	◊meaning:	- def: Abel of Beth-maakah	- ', a place in Palestine'	usage: Abel-beth-maachah, Abel of Beth-maachah,																													
63	n-pr-loc	aw-bale' hash-shit-teem'	ʼÂbêl hash-Shiṭṭîym	x-pn	- אָבֵל הַשִּׁטִּים	- from	  - '@src': H58	  - '58'	- and the plural of	- w:	  - '@src': H7848	  - '7848'	- ', with the article inserted; meadow of the acacias;'	◊meaning:	- def: Abel hash-Shittim	- ', a place in Palestine'	usage: Abelshittim.																																	
64	n-pr-loc	aw-bale' ker-aw-meem'	ʼÂbêl Kᵉrâmîym	x-pn	- אָבֵל כְּרָמִים	- from	  - '@src': H58	  - '58'	- and the plural of	- w:	  - '@src': H3754	  - '3754'	- ; meadow of vineyards;	◊meaning:	- def: Abel-Keramim	- ', a place in Palestine'	usage: plain of the vineyards.																																	
65	n-pr-loc	aw-bale' mekh-o-law'	ʼÂbêl Mᵉchôwlâh	x-pn	- אָבֵל מְחוֹלָה	- from	  - '@src': H58	  - '58'	- and	- w:	  - '@src': H4246	  - '4246'	- ; meadow of dancing;	◊meaning:	- def: Abel-Mecholah	- ', a place in Palestine'	usage: Abel-meholah.																																	
66	n-pr-loc	aw-bale' mah'-yim	ʼAbêl Mayim	x-pn	- אַבֵל מַיִם	- from	  - '@src': H58	  - '58'	- and	- w:	  - '@src': H4325	  - '4325'	- ; meadow of water;	◊meaning:	- def: Abel-Majim	- ', a place in Palestine'	usage: Abel-maim.																																	
67	n-pr-loc	aw-bale' mits-rah'-yim	ʼÂbêl Mitsrayim	x-pn	- אָבֵל מִצְרַיִם	- from	  - '@src': H58	  - '58'	- and	- w:	  - '@src': H4714	  - '4714'	- ; meadow of Egypt;	◊meaning:	- def: Abel-Mitsrajim	- ', a place in Palestine'	usage: Abel-mizraim.																																	
68	n-f	eh'-ben	ʼeben	heb	- אֶבֶן	- from the root of	  - '@src': H1129	  - '1129'	- through the ◊meaning to	- def: build	- ;	◊meaning:	- a	- def: stone	usage: '  carbuncle,   mason,   plummet, (chalk-, hail-, head-, sling-) stone(-ny),	  (divers) weight(-s).'																																		
69	n-f	eh'-ben	ʼeben	arc	- אֶבֶן	- (Aramaic) corresponding to	  - '@src': H68	  - '68'	usage: stone.																																									
70	n-m	o' ben	ʼôben	heb	- אֹבֶן	- from the same as	  - '@src': H68	  - '68'	- ;	◊meaning:	- a	- def: pair of stones	- (only dual); a	- def: potter's wheel	- or a	- def: midwife's stool	- (consisting alike of two horizontal disks with a support between)	usage: wheel, stool.																																
71	n	ab-aw-naw'	ʼĂbânâh	x-pn	- אֲבָנָה	- perhaps feminine of	  - '@src': H68	  - '68'	- ; stony; Compare	- w:	  - '@src': H549	  - '549'	- .	◊meaning:	- def: Abanah	- ', a river near Damascus'	usage: Abana.																																	
72	n	eh'-ben haw-e'-zer	ʼEben hâ-ʻÊzer	x-pn	- אֶבֶן הָעֵזֶר	- from	  - '@src': H68	  - '68'	- and	- w:	  - '@src': H5828	  - '5828'	- with the article inserted; stone of the help;	◊meaning:	- def: Eben-ha-Ezer	- ', a place in Palestine'	usage: Ebenezer.																																	
73	n-m	ab-nate'	ʼabnêṭ	heb	- אַבְנֵט	of uncertain derivation;		◊meaning:	- a	- def: belt	usage: girdle.																																							
74	n-pr-m	ab-nare'	ʼAbnêr	x-pn	- אַבְנֵר	- or (fully)	  - '@pron': ab-ee-nare'	  - '@xlit': ʼĂbîynêr	  - אֲבִינֵר	- ; from	- w:	  - '@src': H1	  - '1'	- and	- w:	  - '@src': H5216	  - '5216'	- ; father of light (i.e. enlightening);	◊meaning:	- def: Abner	- ', an Israelite'	usage: Abner.																												
75	v	aw-bas'	ʼâbaç	heb	- אָבַס	a primitive root;		◊meaning:	- to	- def: fodder	usage: fatted, stalled.																																							
76	n-f	ab-ah-boo-aw'	ʼăbaʻbuʻâh	heb	- אֲבַעְבֻּעָה	(by reduplication) from an unused root (◊meaning to belch forth);		◊meaning:	- an	- def: inflammatory pustule	- (as eruption)	usage: blains.																																						
77	n-pr-loc	eh'-bets	ʼEbets	x-pn	- אֶבֶץ	from an unused root probably ◊meaning to gleam; conspicuous;		◊meaning:	- def: Ebets	- ', a place in Palestine'	usage: Abez.																																							
78	n-pr-m	ib-tsawn'	ʼIbtsân	x-pn	- אִבְצָן	- from the same as	  - '@src': H76	  - '76'	- ; splendid;	◊meaning:	- def: Ibtsan	- ', an Israelite'	usage: Ibzan.																																					
79	v	aw-bak'	ʼâbaq	heb	- אָבַק	- a primitive root, probably to	- away (as vapor), but used only as denominative from	- w:	  - '@src': H80	  - '80'	- ;	◊meaning:	- to	- def: bedust	- ', i.e.'	- def: grapple	usage: wrestle.																																	
80	n-m	aw-bawk'	ʼâbâq	heb	- אָבָק	- from root of	  - '@src': H79	  - '79'	- ;	◊meaning:	- light	- def: particles	- (as	- def: volatile	- )	usage: (small) dust, powder.																																		
81	n-f	ab-aw-kaw'	ʼăbâqâh	heb	- אֲבָקָה	- feminine of	  - '@src': H80	  - '80'	usage: powder.																																									
82	v	aw-bar'	ʼâbar	heb	- אָבַר	a primitive root;		◊meaning:	- to	- def: soar	usage: fly.																																							
83	n-m	ay-ber'	ʼêber	heb	- אֵבֶר	- from	  - '@src': H82	  - '82'	- ;	◊meaning:	- a	- def: pinion	usage: (long-) wing(-ed).																																					
84	n-f	eb-raw'	ʼebrâh	heb	- אֶבְרָה	- feminine of	  - '@src': H83	  - '83'	usage: feather, wing.																																									
85	n-pr-m	ab-raw-hawm'	ʼAbrâhâm	x-pn	- אַבְרָהָם	- contracted from	  - '@src': H1	  - '1'	- and an unused root (probably ◊meaning to be populous); father of a multitude;	◊meaning:	- def: Abraham	- ', the later name of Abram'	usage: Abraham.																																					
86	v	ab-rake'	ʼabrêk	heb	- אַבְרֵךְ	probably an Egyptian word ◊meaning		◊meaning:	  def: kneel	usage: bow the knee.																																								
87	n-pr-m	ab-rawm'	ʼAbrâm	x-pn	- אַבְרָם	- contracted from	  - '@src': H48	  - '48'	- ; high father;	◊meaning:	- def: Abram	- ', the original name of Abraham'	usage: Abram.																																					
88	n-pr-loc	o-both'	ʼôbôth	x-pn	- אֹבֹת	- plural of	  - '@src': H178	  - '178'	- ; water-skins;	◊meaning:	- def: Oboth	- ', a place in the Desert'	usage: Oboth.																																					
89	n-pr-m	aw-gay'	ʼÂgêʼ	x-pn	- אָגֵא	- of uncertain derivation (compare	  - '@src': H90	  - '90'	- );	◊meaning:	- def: Age	- ', an Israelite'	usage: Agee.																																					
90	n-pr-m	ag-ag'	ʼĂgag	x-pn	- אֲגַג	- or	  - '@pron': Ag-awg'	  - '@xlit': ʼĂgâg	  - אֲגָג	- ; of uncertain derivation (compare	- w:	  - '@src': H89	  - '89'	- ); flame;	◊meaning:	- def: Agag	- ', a title of Amalekitish kings'	usage: Agag.																																
91	a	ag-aw-ghee'	ʼĂgâgîy	x-pn	- אֲגָגִי	- patrial or patronymic from	  - '@src': H90	  - '90'	- ;	◊meaning:	- an	- def: Agagite	- or descendent (subject) of Agag	usage: Agagite.																																				
92	n-f	ag-ood-daw'	ʼăguddâh	heb	- אֲגֻדָּה	- feminine passive participle of an unused root (◊meaning to	- );	◊meaning:	- a	- def: band	- ','	- def: bundle	- ','	- def: knot	- ', or'	- def: arch	usage: bunch, burden, troop.																																	
93	n-m	eg-oze'	ʼĕgôwz	heb	- אֱגוֹז	prob of Persian origin;		◊meaning:	- a	- def: nut	usage: nut.																																							
94	n-pr-m	aw-goor'	ʼÂgûwr	x-pn	- אָגוּר	- passive participle of	  - '@src': H103	  - '103'	- ; gathered (i.e. received among the sages);	◊meaning:	- def: Agur	- ', a fanciful name for Solomon'	usage: Agur.																																					
95	n-f	ag-o-raw'	ʼăgôwrâh	heb	- אֲגוֹרָה	- from the same as	  - '@src': H94	  - '94'	- ;	◊meaning:	- properly, something	- def: gathered	- ', i.e. perhaps a'	- def: grain	- or	- def: berry	- ; used only of a	- def: small	- (silver)	- def: coin	usage: piece (of) silver.																													
96	n-m	eh'-ghel	ʼegel	heb	- אֶגֶל	from an unused root (◊meaning to flow down or together as drops);		◊meaning:	- a	- def: reservoir	usage: drop.																																							
97	n-pr-loc	eg-lah'-yim	ʼEglayim	x-pn	- אֶגְלַיִם	- dual of	  - '@src': H96	  - '96'	- .; a	- def: double pond	- ;	◊meaning:	- def: Eglajim	- ', a place in Moab'	usage: Eglaim.																																			
98	n-m	ag-am'	ʼăgam	heb	- אֲגַם	- from an unused root (◊meaning to	- as water);	◊meaning:	- a	- def: marsh	- ; hence a	- def: rush	- (as growing in swamps); hence a	- def: stockade	- of reeds	usage: pond, pool, standing (water).																																		
99	a	aw-game'	ʼâgêm	heb	- אָגֵם	- probably from the same as	  - '@src': H98	  - '98'	- (in the sense of	- def: stagnant	- water);	◊meaning:	- figuratively,	- def: sad	usage: pond.																																			
100	n-m	ag-mone'	ʼagmôwn	heb	- אַגְמוֹן	- from the same as	  - '@src': H98	  - '98'	- ; a marshy	- def: pool	- (others from a different root, a	- def: kettle	- ); by implication	◊meaning:	- a	- def: rush	- (as growing there); collectively a	- def: rope	- of rushes	usage: bulrush, caldron, hook, rush.																														
101	n-m	ag-gawn'	ʼaggân	heb	- אַגָּן	- probably from	  - '@src': H5059	  - '5059'	- ;	◊meaning:	- a	- def: bowl	- (as	- def: pounded	- out hollow)	usage: basin, cup, goblet.																																		
102	n-m	ag-gawf'	ʼaggâph	heb	- אַגָּף	- probably from	  - '@src': H5062	  - '5062'	- (through the idea of impending); a cover or heap; i.e.	◊meaning:	- (only plural)	- def: wings of an army	- ', or'	- def: crowds of troops	usage: bands.																																			
103	v	aw-gar'	ʼâgar	heb	- אָגַר	a primitive root;		◊meaning:	- to	- def: harvest	usage: gather.																																							
104	n-f	ig-er-aw'	ʼiggᵉrâʼ	arc	- אִגְּרָא	(Aramaic) of Persian origin;		◊meaning:	- an	- def: epistle	- (as carried by a state courier or postman)	usage: letter.																																						
105	n-m	ag-ar-tawl'	ʼăgarṭâl	heb	- אֲגַרְטָל	of uncertain derivation;		◊meaning:	- a	- def: basin	usage: charger.																																							
106	n-m	eg-rofe'	ʼegrôph	heb	- אֶגְרֹף	- from	  - '@src': H1640	  - '1640'	- (in the sense of	- def: grasping	- );	◊meaning:	- the	- def: clenched	- hand	usage: fist.																																		
107	n-f	ig-eh'-reth	ʼiggereth	heb	- אִגֶּרֶת	- feminine of	  - '@src': H104	  - '104'	- ;	◊meaning:	- an	- def: epistle	usage: letter.																																					
108	n-m	ade	ʼêd	heb	- אֵד	- from the same as	  - '@src': H181	  - '181'	- (in the sense of enveloping);	◊meaning:	- a	- def: fog	usage: mist, vapor.																																					
109	v	aw-dab'	ʼâdab	heb	- אָדַב	a primitive root;		◊meaning:	- to	- def: languish	usage: grieve.																																							
110	n-pr-m	ad-beh-ale'	ʼAdbᵉʼêl	x-pn	- אַדְבְּאֵל	- probably from	  - '@src': H109	  - '109'	- (in the sense of chastisement) and	- w:	  - '@src': H410	  - '410'	- ; disciplined of God;	◊meaning:	- def: Adbeel	- ', a son of Ishmael'	usage: Adbeel.																																	
111	n-pr-m	ad-ad'	ʼĂdad	x-pn	- אֲדַד	- probably an orthographical variation for	  - '@src': H2301	  - '2301'	- ;	◊meaning:	- def: Adad	- (or Hadad), an Edomite	usage: Hadad.																																					
112	n-pr-m	id-do	ʼIddôw	x-pn	- אִדּוֹ	of uncertain derivation;		◊meaning:	- def: Iddo	- ', an Israelite'	usage: Iddo.																																							
